 PA ;     CONTA        ;      OCG      ;      SAP      ;   DIFERENCA                 
  26;1612040 967       ;    139.245,00 ;    139.245,00 ;          0,00               
  26;1612040 968       ;    284.152,38 ;    284.152,38 ;          0,00               
  26;1612040 970       ;    398.969,24 ;    398.969,24 ;          0,00               
  26;1612040 971       ;  1.657.251,75 ;  1.657.251,75 ;          0,00               
  26;1612040 980       ;    240.682,64 ;    240.682,64 ;          0,00               
  26;1612040 981       ;     24.499,41 ;     24.499,41 ;          0,00               
  26;1612040 982       ;    266.499,05 ;    266.499,05 ;          0,00               
  26;1612040 998       ;     82.451,87 ;     82.451,87 ;          0,00               
  26;1612040 999       ;    821.137,47 ;    821.137,47 ;          0,00               
  26;1612099 961       ;  1.029.202,81 ;  1.029.145,50 ;         57,31               
  26;  SUBTOTAIS       ; 24.779.562,57 ; 24.779.283,03 ;        279,54               
  26;     TOTAIS       ; 48.204.813,44 ; 48.202.419,46 ;      2.393,98               
                                                                                     
  27;1612010 131       ; 10.582.842,08 ; 10.579.764,29 ;      3.077,79               
  27;1612010 133       ;  1.670.765,27 ;  1.670.341,39 ;        423,88               
  27;1612010 134       ;    730.644,71 ;    732.747,16 ;      2.102,45-              
  27;1612010 135       ;    210.751,57 ;    210.758,26 ;          6,69-              
  27;1612010 136       ;    128.210,16 ;    128.210,16 ;          0,00               
  27;1612010 137       ;    168.999,09 ;    170.629,70 ;      1.630,61-              
  27;1612010 138       ;     79.197,42 ;     77.882,97 ;      1.314,45               
  27;1612010 141       ;      4.646,64 ;      4.646,64 ;          0,00               
  27;1612040 003       ;    441.016,72 ;    441.016,72 ;          0,00               
  27;1612040 036       ;    164.947,20 ;    164.947,20 ;          0,00               
  27;1612040 038       ;  1.426.090,61 ;  1.426.090,61 ;          0,00               
  27;1612040 039       ;  5.801.475,75 ;  5.803.082,64 ;      1.606,89-              
  27;1612099 174       ;    337.132,17 ;    336.958,48 ;        173,69               
  27;1612099 196       ;    555.903,90 ;    555.530,52 ;        373,38               
  27;  SUBTOTAIS       ; 22.302.623,29 ; 22.302.606,74 ;         16,55               
  27;1612010 987       ;  3.594.099,40 ;  3.593.677,29 ;        422,11               
  27;1612010 988       ;    108.131,43 ;    108.131,43 ;          0,00               
  27;1612010 989       ;     16.454,55 ;     16.454,55 ;          0,00               
  27;1612010 990       ;     17.332,94 ;     17.332,94 ;          0,00               
  27;1612010 991       ;     10.994,55 ;     10.994,55 ;          0,00               
  27;1612010 992       ;      1.630,54 ;      1.630,54 ;          0,00               
  27;1612010 995       ;    740.089,55 ;    743.459,92 ;      3.370,37-              
  27;1612010 996       ;  1.230.941,00 ;  1.230.635,49 ;        305,51               
  27;1612010 997       ;        499,86 ;        499,86 ;          0,00               
  27;1612040 979       ;     66.464,94 ;     66.464,94 ;          0,00               
  27;1612040 980       ;    892.965,57 ;    892.965,57 ;          0,00               
  27;1612040 982       ;    333.450,76 ;    333.537,76 ;         87,00-              
  27;1612040 999       ;     54.609,47 ;     54.609,47 ;          0,00               
  27;1612099 961       ;    132.730,37 ;    132.730,37 ;          0,00               
  27;1612099 933       ;    121.496,43 ;    121.496,43 ;          0,00               
  27;  SUBTOTAIS       ;  7.321.891,36 ;  7.324.621,11 ;      2.729,75-              
  27;     TOTAIS       ; 14.980.731,93 ; 14.977.985,63 ;      2.746,30               
                                                                                     
  28;1612010 131       ;  6.426.199,61 ;  6.424.754,97 ;      1.444,64               
  28;1612010 133       ;  1.331.839,37 ;  1.331.728,46 ;        110,91               
  28;1612010 134       ;    397.330,83 ;    395.945,87 ;      1.384,96               
  28;1612010 135       ;     99.282,87 ;     99.282,87 ;          0,00               
  28;1612010 136       ;     66.409,63 ;     66.409,63 ;          0,00               
  28;1612010 137       ;    105.683,95 ;    106.997,00 ;      1.313,05-              
  28;1612010 138       ;     45.083,61 ;     44.660,29 ;        423,32               
  28;1612010 141       ;        382,39 ;        382,39 ;          0,00               
  28;1612040 003       ;  1.028.314,38 ;  1.028.314,38 ;          0,00               
  28;1612040 035       ;    512.456,90 ;    512.456,90 ;          0,00               
  28;1612040 038       ;  1.371.705,83 ;  1.371.173,51 ;        532,32               
  28;1612040 039       ;  3.515.857,63 ;  3.518.457,15 ;      2.599,52-              
  28;1612099 174       ;    813.745,37 ;    812.027,52 ;      1.717,85               
  28;1612099 196       ;    114.059,25 ;    114.018,81 ;         40,44               
  28;  SUBTOTAIS       ; 15.828.351,62 ; 15.826.609,75 ;      1.741,87               
  28;1612010 987       ;  2.745.957,61 ;  2.745.922,40 ;         35,21               
  28;1612010 988       ;     58.240,42 ;     58.240,42 ;          0,00               
  28;1612010 989       ;      8.891,53 ;      8.891,53 ;          0,00               
  28;1612010 990       ;      5.701,15 ;      5.701,15 ;          0,00               
  28;1612010 991       ;      7.971,82 ;      7.971,82 ;          0,00               
  28;1612010 992       ;      1.867,54 ;      1.867,54 ;          0,00               
  28;1612010 995       ;    601.016,73 ;    601.016,73 ;          0,00               
  28;1612010 996       ;    535.810,52 ;    535.737,65 ;         72,87               
  28;1612010 997       ;         12,13 ;         12,13 ;          0,00               
  28;1612040 980       ;    393.872,56 ;    393.872,56 ;          0,00               
  28;1612040 981       ;     11.588,64 ;     11.588,64 ;          0,00               
  28;1612040 982       ;    139.147,17 ;    139.147,17 ;          0,00               
  28;1612040 999       ;    110.837,51 ;    110.837,51 ;          0,00               
  28;1612099 961       ;    424.820,46 ;    424.820,46 ;          0,00               
  28;1612099 933       ;      5.633,29 ;      5.633,29 ;          0,00               
  28;  SUBTOTAIS       ;  5.051.369,08 ;  5.051.261,00 ;        108,08               
  28;     TOTAIS       ; 10.776.982,54 ; 10.775.348,75 ;      1.633,79               
                                                                                     
  36;1612010 131       ;  1.507.780,26 ;  1.506.882,56 ;        897,70               
  36;1612010 133       ;     15.189,00 ;     15.189,00 ;          0,00               
  36;1612010 135       ;      8.603,91 ;      8.603,91 ;          0,00               
  36;1612010 137       ;     15.935,51 ;     15.935,51 ;          0,00               
  36;1612040 039       ;     51.757,64 ;     51.757,64 ;          0,00               
  36;  SUBTOTAIS       ;  1.599.266,32 ;  1.598.368,62 ;        897,70               
  36;1612010 987       ;     91.694,00 ;     91.694,00 ;          0,00               
